Date,Country/Region,Cumulative Cases
2020-03-26 00:00:00,Thailand,1045
2020-03-26 00:00:00,Vietnam,153
2020-03-27 00:00:00,Indonesia,1046
2020-03-27 00:00:00,Malaysia,2161
2020-03-27 00:00:00,Philippines,803
2020-03-27 00:00:00,Singapore,732
2020-03-27 00:00:00,Thailand,1136
2020-03-27 00:00:00,Vietnam,163
2020-03-28 00:00:00,Indonesia,1155
2020-03-28 00:00:00,Malaysia,2320
2020-03-28 00:00:00,Philippines,1075
2020-03-28 00:00:00,Singapore,802
2020-03-28 00:00:00,Thailand,1245
2020-03-28 00:00:00,Vietnam,174
2020-03-29 00:00:00,Indonesia,1285
2020-03-29 00:00:00,Malaysia,2470
2020-03-29 00:00:00,Philippines,1418
2020-03-29 00:00:00,Singapore,844
2020-03-29 00:00:00,Thailand,1388
2020-03-29 00:00:00,Vietnam,188
2020-03-30 00:00:00,Indonesia,1414
2020-03-30 00:00:00,Malaysia,2626
2020-03-30 00:00:00,Philippines,1546
2020-03-30 00:00:00,Singapore,879
2020-03-30 00:00:00,Thailand,1524
2020-03-30 00:00:00,Vietnam,203
2020-03-31 00:00:00,Indonesia,1528
2020-03-31 00:00:00,Malaysia,2766
2020-03-31 00:00:00,Philippines,2084
2020-03-31 00:00:00,Singapore,926
2020-03-31 00:00:00,Thailand,1651
2020-03-31 00:00:00,Vietnam,212
2020-04-01 00:00:00,Indonesia,1677
2020-04-01 00:00:00,Malaysia,2908
2020-04-01 00:00:00,Philippines,2311
2020-04-01 00:00:00,Singapore,1000
2020-04-01 00:00:00,Thailand,1771
2020-04-01 00:00:00,Vietnam,218
2020-04-02 00:00:00,Indonesia,1790
2020-04-02 00:00:00,Malaysia,3116
2020-04-02 00:00:00,Philippines,2633
2020-04-02 00:00:00,Singapore,1049
2020-04-02 00:00:00,Thailand,1875
2020-04-02 00:00:00,Vietnam,233
2020-04-03 00:00:00,Indonesia,1986
2020-04-03 00:00:00,Malaysia,3333
2020-04-03 00:00:00,Philippines,3018
2020-04-03 00:00:00,Singapore,1114
2020-04-03 00:00:00,Thailand,1978
2020-04-03 00:00:00,Vietnam,237
